clinic_id,clinic_name,website,phone,email,license_number,accreditation,year_established,number_of_doctors,number_of_staff,address,city,state,zip_code,description,mouseMoveCount,keyPressCount,timeOnPageSeconds,mouseMoveRate,keyPressRate,interactionBalance,interactionScore,idleRatio,behavioral_label,risk_score,risk_level
clinic_0000,Medical Center 0,https://clinic0.com,+1-555-0000-7873,clinic0@healthcare.com,LIC-000000,,1998,3,12,0 Healthcare Ave,Medical City 0,Health State 0,00000,Comprehensive medical facility 0 providing quality healthcare services.,156,42,127.3,1.225,0.33,0.576,0.779,0.234,1,0.24999999999999997,LOW
clinic_0001,Medical Center 1,https://clinic1.com,+1-555-0001-6675,clinic1@healthcare.com,LIC-000001,,2008,12,27,1 Healthcare Ave,Medical City 1,Health State 1,00001,Comprehensive medical facility 1 providing quality healthcare services.,89,23,89.7,0.992,0.256,0.589,0.624,0.187,1,0.5,MEDIUM
clinic_0002,Medical Center 2,https://clinic2.com,+1-555-0002-1161,clinic2@healthcare.com,LIC-000002,ACC-2,2005,9,25,2 Healthcare Ave,Medical City 2,Health State 2,00002,Comprehensive medical facility 2 providing quality healthcare services.,201,67,234.5,0.857,0.286,0.5,0.575,0.298,1,0.30000000000000004,MEDIUM
clinic_0003,Medical Center 3,https://clinic3.com,+1-555-0003-5297,clinic3@healthcare.com,LIC-000003,ACC-3,1992,5,6,3 Healthcare Ave,Medical City 3,Health State 3,00003,Comprehensive medical facility 3 providing quality healthcare services.,143,31,156.2,0.916,0.199,0.643,0.558,0.221,1,0.30000000000000004,MEDIUM
clinic_0004,Medical Center 4,,+1-555-0004-1995,clinic4@healthcare.com,,,2009,8,24,4 Healthcare Ave,Medical City 4,Health State 4,00004,Comprehensive medical facility 4 providing quality healthcare services.,178,45,198.7,0.896,0.226,0.596,0.571,0.265,1,0.7000000000000001,HIGH
clinic_0005,Medical Center 5,,+1-555-0005-8629,clinic5@healthcare.com,,,2013,13,3,5 Healthcare Ave,Medical City 5,Health State 5,00005,Comprehensive medical facility 5 providing quality healthcare services.,92,18,67.8,1.357,0.266,0.674,0.812,0.156,1,0.75,HIGH
clinic_0006,Medical Center 6,,+1-555-0006-2016,clinic6@healthcare.com,,ACC-6,2022,1,12,6 Healthcare Ave,Medical City 6,Health State 6,00006,Comprehensive medical facility 6 providing quality healthcare services.,234,78,287.3,0.815,0.271,0.5,0.543,0.312,1,0.8500000000000001,HIGH
clinic_0007,Medical Center 7,https://clinic7.com,+1-555-0007-8869,clinic7@healthcare.com,LIC-000007,,2013,14,19,7 Healthcare Ave,Medical City 7,Health State 7,00007,Comprehensive medical facility 7 providing quality healthcare services.,167,52,189.4,0.882,0.274,0.525,0.583,0.243,1,0.5,MEDIUM
clinic_0008,Medical Center 8,https://clinic8.com,+1-555-0008-7439,clinic8@healthcare.com,LIC-000008,,2000,5,0,8 Healthcare Ave,Medical City 8,Health State 8,00008,Comprehensive medical facility 8 providing quality healthcare services.,125,29,134.6,0.929,0.215,0.624,0.571,0.198,1,0.4,MEDIUM
clinic_0009,Medical Center 9,https://clinic9.com,+1-555-0009-8892,clinic9@healthcare.com,LIC-000009,ACC-9,1997,3,7,9 Healthcare Ave,Medical City 9,Health State 9,00009,Comprehensive medical facility 9 providing quality healthcare services.,198,61,223.1,0.888,0.274,0.529,0.577,0.287,1,0.30000000000000004,MEDIUM
